model_id,display,population,relation,precision,recall,f1,support_gt,support_pred,n_diagrams_with_gt,n
qwen3.5-27b,Qwen3.5-27B,compiled_only,inheritance,0.7584745762711864,0.7839416058394161,0.7709978463747309,685,708,192,601
qwen3.5-27b,Qwen3.5-27B,compiled_only,composition,0.6619718309859155,0.5802469135802469,0.6184210526315791,162,142,52,601
qwen3.5-27b,Qwen3.5-27B,compiled_only,aggregation,0.6875,0.5755813953488372,0.6265822784810126,172,144,72,601
qwen3.5-27b,Qwen3.5-27B,compiled_only,dependency,0.41627906976744183,0.6193771626297578,0.49791376912378305,289,430,75,601
qwen3.5-27b,Qwen3.5-27B,compiled_only,association,0.6023564064801178,0.6014705882352941,0.6019131714495953,680,679,163,601
qwen3.5-27b,Qwen3.5-27B,compiled_only,message,0.8097102584181676,0.7575091575091575,0.7827403482210445,2730,2554,224,601
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,inheritance,0.7584745762711864,0.5712765957446808,0.6516990291262135,940,708,258,1000
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,composition,0.6619718309859155,0.31333333333333335,0.4253393665158371,300,142,82,1000
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,aggregation,0.6875,0.4057377049180328,0.5103092783505154,244,144,97,1000
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,dependency,0.41627906976744183,0.455470737913486,0.4349939246658567,393,430,106,1000
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,association,0.6023564064801178,0.40335305719921105,0.4831659775546367,1014,679,231,1000
qwen3.5-27b,Qwen3.5-27B,zeros_for_failed,message,0.812933025404157,0.3226397800183318,0.4619422572178477,6546,2598,497,1000
